"X","id","title","type","description","release_year","age_certification","runtime","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","sport","war","animation","family","action","western","european","reality","thriller","crime","comedy","documentation","fantasy","scifi","romance","horror","history","music"
36,"tm155787","GoodFellas","MOVIE","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990,"R",145,"['US']",NA,"tt0099685",8.7,1131681,50.387,8.463,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,"tm145608","Awakenings","MOVIE","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,"PG-13",120,"['US']",NA,"tt0099077",7.8,139240,12.23,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,"tm152839","Tim Allen: Men Are Pigs","MOVIE","Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,"",30,"['US']",NA,"tt0259057",6.1,360,2.482,6.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
66,"tm159912","Agneepath","MOVIE","The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?",1990,"",174,"['IN']",NA,"tt0098999",7.6,8947,4.062,6.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
71,"tm157603","Dil","MOVIE","Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.",1990,"",172,"['IN']",NA,"tt0099429",6.6,5316,3.992,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
74,"tm157853","In Defense of a Married Man","MOVIE","When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,"",94,"['US']",NA,"tt0099396",5.6,207,2.444,4.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,"tm147829","Unspeakable Acts","MOVIE","Two psychologist try to demonstrate that a man is a pedophile and has abused many children.",1990,"",100,"['US']",NA,"tt0100848",6.1,464,2.075,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"tm107744","Mission: Impossible","MOVIE","When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996,"PG-13",110,"['US']",NA,"tt0117060",7.1,420673,41.115,6.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
94,"tm15897","Se7en","MOVIE","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995,"R",127,"['US']",NA,"tt0114369",8.6,1606270,51.633,8.352,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
96,"tm191013","Boogie Nights","MOVIE","Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",1997,"R",156,"['US']",NA,"tt0118749",7.9,261563,20.436,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
